timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,NOTAM,Debug
2019-04-18T04:09:55.320324-03:00,SNDG,AM0036,Aldeia,BORBA,AM,OK,[],{'response_status_code': 200}
2019-04-18T04:09:58.343286-03:00,SSDY,AP0010,Alegria Alcolumbre,MACAPÁ,AP,OK,[],{'response_status_code': 200}
2019-04-18T04:10:02.350286-03:00,SNUF,SP0854,Alfa Airport Posse,SÃO PAULO,SP,OK,[],{'response_status_code': 200}
2019-04-18T04:10:06.776321-03:00,SJXJ,MS0191,Alimentos Dallas,NOVA ALVORADA DO SUL,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:11.321320-03:00,SJYG,RR0091,Alto Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1211/2018,"['INFOTEMP 1211/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  10/11/18 10:42 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 01:41']",{'response_status_code': 200}
2019-04-18T04:10:16.238320-03:00,SWAO,AM0043,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0163/2019,"['Revogado INFOTEMP 1456/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO \n Duração:  06/12/18 18:14 a 31/12/20 23:59 UTC  | Divulgação: 06/12/2018 21:46', 'Revogado INFOTEMP 1216/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO  RMK: EXC ACFT DESTINADAS APOIAR A SECRETARIA ESPECIAL DE SAUDE INDIGENA E  CASO O AD ESTEJA LOCALIZADO NA AREA RESTRITA SBR 701 (FRONTEIRA), A ACFT  ENVOLVIDA NA MISSAO DEVERA POSSUIR OBRIGATORIAMENTE UMA AVOAR VALIDA EMITIDA PELO EXMO SR COMANDANTE DA ALA 8  \n Duração:  10/11/18 12:59 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 12:58', 'INFOTEMP 0163/2019 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  19/03/19 10:34 a 31/12/20 23:59 UTC  | Divulgação: 19/03/2019 10:34']",{'response_status_code': 200}
2019-04-18T04:10:20.772362-03:00,SDJS,RR0003,Andorinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1481/2018,"['INFOTEMP 1481/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  10/12/18 20:10 a 31/12/20 23:59 UTC  | Divulgação: 10/12/2018 20:09', 'Revogado INFOTEMP 1159/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO \n Duração:  09/11/18 15:18 a 31/12/20 23:59 UTC  | Divulgação: 09/11/2018 15:14']",{'response_status_code': 200}
2019-04-18T04:10:25.229320-03:00,SDKA,RR0004,Angical,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1231/2018,"['INFOTEMP 1231/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE  DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO  \n Duração:  10/11/18 14:10 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 14:09']",{'response_status_code': 200}
2019-04-18T04:10:29.958320-03:00,SJHF,BA0111,Aníbal Azevedo Filho,MATA DE SÃO JOÃO,BA,OK,[],{'response_status_code': 200}
2019-04-18T04:10:34.259325-03:00,SSFU,PA0126,Antonio Furlaneto,DOM ELISEU,PA,OK,[],{'response_status_code': 200}
2019-04-18T04:10:39.074314-03:00,SNYW,MA0043,Antônio Guerreiro,GUIMARÃES,MA,OK,[],{'response_status_code': 200}
2019-04-18T04:10:44.146359-03:00,SSPO,MS0320,APLIC Aviação agrícola II,ITAPORÃ,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:47.129320-03:00,SSIC,MS0286,APLIC Aviação Agrícola LTDA,DOURADOS,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:51.893321-03:00,SJYI,RR0092,Arai,PACARAIMA,RR,OK,"['INFOTEMP 1208/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO  \n Duração:  10/11/18 01:25 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 01:24']",{'response_status_code': 200}
2019-04-18T04:10:56.781321-03:00,SJHZ,MT0181,Arara Azul,BARÃO DE MELGAÇO,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:11:01.042321-03:00,SJYJ,RR0093,Aratha-ú,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1206/2018,"['INFOTEMP 1206/2018 \n  AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO  \n Duração:  10/11/18 01:20 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 01:19']",{'response_status_code': 200}
2019-04-18T04:11:05.329320-03:00,SIEW,AM0031,Areia Branca,NOVO ARIPUANÃ,AM,OK,[],{'response_status_code': 200}
2019-04-18T04:11:10.439286-03:00,SJTW,RS0078,Arenhart Aviação Agrícola,URUGUAIANA,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:11:14.929289-03:00,SSOU,MT0303,Aripuanã,ARIPUANÃ,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:11:19.980286-03:00,SWOA,GO0138,Arnapar,GOIANIRA,GO,OK,"['F0710/19  N  17/04/2019 17:52 \n AREA PERIGOSA (VOO LIVRE) COORD 151740.00S0503219.00W, 152527.00S0492825.00W, 154920.00S0491439.00W, 161851.00S0493647.00W, 163707.00S0501708.00W, 161823.00S0503341.00W, 154857.00S0503811.00W ACT \n \n  SFC \n  FL090 \n  01/06/19 13:00 a 28/08/19 21:00 UTC \n  DLY 1300-2100']",{'response_status_code': 200}
2019-04-18T04:11:24.814286-03:00,SIEZ,SC0025,Asa Branca,TUBARÃO,SC,OK,[],{'response_status_code': 200}
2019-04-18T04:11:29.599286-03:00,SJPR,PR0059,Asas de Balsa Nova,BALSA NOVA,PR,OK,[],{'response_status_code': 200}
