ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SWEQ,PA0001,Clube de Esportes Aéreos e Náuticos do Pará,BELÉM,PA,,[],OK
SWYV,SP0092,Clube de Marte Ibirá de Pára-Quedismo,IBIRÁ,SP,,[],OK
SJPU,PI0027,Clube de Ultraleves do Piauí,TERESINA,PI,,[],OK
SIVQ,SP0190,Clube de Voo Aeroquadra,QUADRA,SP,,[],OK
SWVN,SP0011,Clube de Voo Fazenda Novo Horizonte,ITU,SP,,[],OK
SNIF,MG0150,Clube de Voo Floresta,VISCONDE DO RIO BRANCO,MG,,"{'badge_info': 'E0377/19', 'titulo': ' N 28/02/2019 17:21', 'texto2': 'GND'}",OK
SWIT,PR0096,Clube de Voo Itaipu,SANTA TEREZINHA DE ITAIPU,PR,,[],OK
SWMY,PA0146,Clube de Voo Mãe Irene,ALTAMIRA,PA,,[],OK
SNWE,PB0016,Clube Estância Ouro Verde,SANTA RITA,PB,,[],OK
SDVO,TO0015,Clube Voart,ARAGUAÍNA,TO,,[],OK
SSCO,RS0092,Cmt. Marilda Zaiden de Mesquita,CAPÃO DO LEÃO,RS,,[],OK
SWKE,TO0010,Cobrape,FORMOSO DO ARAGUAIA,TO,,[],OK
SWCD,MT0330,Colider,COLÍDER,MT,,[],OK
SIXZ,MT0152,COLNIZA,COLNIZA,MT,,[],OK
SIME,MA0023,Comandante Carlos Inácio Agnes,DAVINÓPOLIS,MA,,[],OK
SDVI,MT0067,Comandante Gastão,TANGARÁ DA SERRA,MT,,[],OK
SSML,BA0160,Comandante Jorge Mello,BOM JESUS DA LAPA,BA,,[],OK
SIUW,BA0099,Comandante Milton Tosto,BONITO,BA,,[],OK
SINN,SC0030,Comandante Nelinho,ARARANGUÁ,SC,,[],OK
SJCA,SP0123,Comandante Vittório Bonomi,MOCOCA,SP,,"{'badge_info': 'F0542/19', 'titulo': ' N 28/03/2019 23:01', 'texto2': 'SFC'}",OK
SJGL,GO0005,Comandante Zequinha / Grand Lake,LUZIÂNIA,GO,,[],OK
SWDS,RO0046,Condomínio Aéreo Santos Dumont,JI-PARANÁ,RO,,[],OK
SNDD,SP0225,Condomínio Aeronáutico Santos Dumont,ELIAS FAUSTO,SP,,[],OK
SJRI,PI0029,Condomínio Boa Esperança,RIBEIRO GONÇALVES,PI,,[],OK
SSQQ,MS0038,Condomínio CLC,CAMPO GRANDE,MS,,[],OK
SSVG,MG0190,Condomínio Fly Vila Resort,GUAPÉ,MG,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0822/2018', 'texto2': 'Duração:'}",OK
